"Epic","ID","User Story","Critères d'acceptation","Priorité","Story Points","Sprint","Phase","Étiquettes"
"Intégrations","INT-009","Tests de charge k6 (500 users, P95 < 200ms)","Scénarios k6 pour modules critiques ; rapport Grafana ; optimisations Doctrine N+1","Must Have","13","46","Phase 6","performance,load-testing,k6"
"Intégrations","INT-010","Optimisation cache Redis (requêtes lentes)","Profiling Symfony Profiler ; mise en cache des requêtes lentes ; TTL configurés","Must Have","8","46","Phase 6","performance,cache,redis,optimization"
"Intégrations","INT-011","Partitionnement PostgreSQL (tables volumineuses)","Partitionnement par date des tables écritures_comptables, mouvements_stock","Must Have","8","46","Phase 6","performance,database,partitioning"
"Intégrations","INT-012","Pentest et audit de sécurité OWASP ZAP","Scan OWASP ZAP automatique dans CI ; rapport findings ; correction des critiques","Must Have","13","46","Phase 6","security,pentest,owasp"
"Déploiement","DEP-001","Migration des données de production","Exécution ETL de migration ; contrôles de cohérence ; validation >99.9% correspondance","Must Have","21","47","Phase 7","deployment,migration,data"
"Déploiement","DEP-002","Formation des utilisateurs clés","Sessions de formation par profil ; supports visuels ; vidéos tutorielles ; quiz","Must Have","13","47","Phase 7","deployment,training,change-management"
"Déploiement","DEP-003","Déploiement blue/green production","Bascule blue/green sans interruption ; feature flags Unleash ; rollback automatique","Must Have","13","47","Phase 7","deployment,blue-green,production"
"Déploiement","DEP-004","Validation finale UAT (recette)","100% user stories Must Have validées ; zéro bug bloquant ; PV de recette signé","Must Have","21","47","Phase 7","deployment,uat,acceptance"
"Déploiement","DEP-005","Runbook opérationnel et documentation finale","Guide de déploiement ; runbook incidents ; documentation API et utilisateur livrés","Must Have","8","48","Phase 7","deployment,documentation,runbook"
"Déploiement","DEP-006","Test PRA — Simulation Disaster Recovery","Simulation panne complète ; RTO < 4h validé ; RPO < 1h validé ; rapport signé","Must Have","8","48","Phase 7","deployment,pra,disaster-recovery"
"Déploiement","DEP-007","Hypercare — Support J+1 à J+30","Équipe dev en astreinte 24h/7j les 2 premières semaines ; SLA bug bloquant < 4h","Must Have","5","48","Phase 7","deployment,hypercare,support"
"Déploiement","DEP-008","Bilan post-projet et mesure des KPIs cibles","Tableau de bord KPIs cibles vs réels ; analyse des écarts ; roadmap v2.0","Should Have","5","48","Phase 7","deployment,review,kpi"
"Admin - Portails","PORT-001","Portail Employé ESS — bulletins et congés","Accès bulletins PDF ; demande congés en ligne ; soldes temps réel ; approbation","Must Have","8","19","Phase 2","portal,employee,ess"
"Admin - Portails","PORT-002","Portail Employé ESS — objectifs et entretiens","Accès aux entretiens ; saisie objectifs SMART ; feedback 360° ; historique","Must Have","5","22","Phase 2","portal,employee,performance"
"Admin - Portails","PORT-003","Portail Employé ESS — notes de frais","Saisie frais ; upload justificatifs ; workflow validation ; virement sur fiche de paie","Must Have","8","22","Phase 2","portal,employee,expenses"
"Admin - Portails","PORT-004","Annuaire interne et organigramme interactif","Recherche par nom/département/compétence ; profil public ; organigramme cliquable","Should Have","5","16","Phase 2","portal,employee,directory"
"Admin - Système","ADM-001","Paramètres système multi-sociétés","CRUD sociétés ; TVA, devises, exercices comptables par société ; cloisonnement données","Must Have","8","5","Phase 1","admin,settings,multi-company"
"Admin - Système","ADM-002","Gestion des workflows d'approbation","Designer de workflow graphique ; étapes, acteurs, conditions, escalades paramétrables","Must Have","13","6","Phase 1","admin,workflow,approval"
"Admin - Système","ADM-003","Modèles de documents PDF (factures, BC, BL)","Designer de template ; variables dynamiques ; logos et charte graphique","Must Have","8","8","Phase 1","admin,templates,pdf"
"Admin - Système","ADM-004","Modèles d'emails et notifications","Éditeur HTML email ; variables ; déclencheurs événementiels ; test d'envoi","Must Have","5","9","Phase 1","admin,email,notifications"
"Admin - Système","ADM-005","Journal d'audit global avec filtres avancés","Recherche par utilisateur/module/date/action ; export CSV ; rétention configurable","Must Have","8","10","Phase 1","admin,audit,compliance"
"Admin - Système","ADM-006","Feature flags avec Unleash","Déploiement progressif des fonctionnalités ; kill switch ; ciblage par rôle/groupe","Must Have","5","4","Phase 0","admin,feature-flags,unleash"
